time,stateEstimate.x,stateEstimate.y,stateEstimate.z,ctrltarget.x,
10934.6,0.490989,0.144575,0.0311271,0,
10934.7,0.490745,0.144613,0.0314608,0,
10934.7,0.490588,0.14455,0.0316719,0,
10934.7,0.493534,0.143438,0.0250697,0,
10934.7,0.493449,0.143376,0.0250137,0,
10934.7,0.493525,0.143894,0.0252047,0,
10934.8,0.493688,0.144306,0.0258372,0,
10934.8,0.493728,0.144446,0.0261125,0,
10934.8,0.493739,0.14463,0.0263446,0,
10934.8,0.493683,0.144602,0.0264888,0,
10934.8,0.493652,0.14459,0.0265629,0,
10934.9,0.493584,0.144568,0.0267176,0,
10934.9,0.49359,0.144687,0.0269704,0,
10934.9,0.493633,0.144614,0.0271286,0,
10934.9,0.493572,0.144696,0.0273092,0,
10934.9,0.493496,0.144712,0.0274897,0,
10935,0.49341,0.144638,0.0276834,0,
10935,0.493373,0.144632,0.0277835,0,
10935,0.493273,0.14463,0.0279725,0,
10935,0.493117,0.144711,0.0281471,0,
10935,0.493005,0.144717,0.0283345,0,
10935,0.492893,0.144789,0.0284197,0,
10935.1,0.492775,0.144757,0.0286011,0,
10935.1,0.492658,0.144806,0.0287864,0,
10935.1,0.492473,0.144846,0.0289799,0,
10935.1,0.492403,0.144846,0.0290824,0,
10935.1,0.492237,0.144765,0.029268,0,
10935.1,0.492106,0.144703,0.029456,0,
10935.2,0.491881,0.144658,0.0297377,0,
10935.2,0.491792,0.144576,0.029931,0,
10935.2,0.491656,0.144597,0.0301339,0,
10935.2,0.491486,0.14463,0.0303274,0,
10935.2,0.491391,0.14461,0.0304455,0,
10935.3,0.491252,0.144681,0.0306226,0,
10935.3,0.491043,0.144738,0.0308378,0,
10935.3,0.490951,0.144642,0.030989,0,
10935.3,0.490879,0.144709,0.0310644,0,
10935.3,0.490761,0.144693,0.0312374,0,
10935.3,0.490661,0.144674,0.0313626,0,
10935.4,0.490492,0.144763,0.031574,0,
10935.4,0.490462,0.14454,0.0317024,0,
10935.4,0.490308,0.144537,0.0318891,0,
10935.4,0.490291,0.144458,0.0320077,0,
10935.4,0.490251,0.144353,0.0321428,0,
10935.5,0.490218,0.144479,0.0321762,0,
10935.5,0.490064,0.144576,0.0323584,0,
10935.5,0.489963,0.144556,0.0324944,0,
10935.5,0.489858,0.144635,0.0326018,0,
10935.5,0.489683,0.144713,0.0327896,0,
10935.5,0.489532,0.144732,0.0329539,0,
10935.6,0.489551,0.1446,0.0330136,0,
10935.6,0.489677,0.144572,0.0329294,0,
10935.6,0.493399,0.143633,0.024882,0,
10935.6,0.493459,0.144128,0.0251356,0,
10935.6,0.49338,0.144103,0.0251206,0,
10935.6,0.493426,0.14437,0.0254678,0,
10935.7,0.493294,0.144335,0.0254944,0,
10935.7,0.493434,0.144458,0.0259592,0,
10935.7,0.493574,0.144567,0.0265124,0,
10935.7,0.493505,0.144555,0.0266834,0,
